# Juku locale font-bank reference
# Estonian source: https://github.com/romeovs/creep/releases/download/0.31/creep.bdf
# Creep SHA-256: 747692a16464fa644f763f1891d43ab1712c598104cc4721c4338cb6ca6e7aa8
# Cyrillic source: https://github.com/olikraus/u8g2/blob/ab9e48b2228351e9476682a70b7f3ee4909cd585/tools/font/bdf/4x6.bdf
# Cyrillic BDF SHA-256: cc8318b75a92f6209245ac771e891fa1b51a5c64e6eea0e0c85349eb89e8ef8b
# Rows are five pixels wide and seven scanlines high.
ESTONIAN C4 U+00C4 #.#.. .##.. #..#. ####. #..#. #..#. #..#.
ESTONIAN D5 U+00D5 ##.#. .##.. #..#. #..#. #..#. #..#. .##..
ESTONIAN D6 U+00D6 #.#.. .##.. #..#. #..#. #..#. #..#. .##..
ESTONIAN DC U+00DC #.#.. #..#. #..#. #..#. #..#. #..#. .###.
ESTONIAN E4 U+00E4 .#.#. ..... .###. #..#. #..#. #..#. .###.
ESTONIAN F5 U+00F5 ##.#. ..... .##.. #..#. #..#. #..#. .##..
ESTONIAN F6 U+00F6 .#.#. ..... .##.. #..#. #..#. #..#. .##..
ESTONIAN FC U+00FC .#.#. ..... #..#. #..#. #..#. #..#. .##..
CP866 80 U+0410 ..... .#... #.#.. ###.. #.#.. #.#.. .....
CP866 81 U+0411 ..... ###.. #.... ##... #.#.. ##... .....
CP866 82 U+0412 ..... ##... #.#.. ##... #.#.. ##... .....
CP866 83 U+0413 ..... ###.. #.... #.... #.... #.... .....
CP866 84 U+0414 ..... ###.. .##.. #.#.. #.#.. ###.. #.#..
CP866 85 U+0415 ..... ###.. #.... ##... #.... ###.. .....
CP866 86 U+0416 ..... #.#.. ###.. .#... ###.. #.#.. .....
CP866 87 U+0417 ..... ##... ..#.. .#... ..#.. ##... .....
CP866 88 U+0418 ..... #.... #.#.. ###.. #.#.. ..#.. .....
CP866 89 U+0419 ..... .##.. #.... #.#.. ###.. #.#.. ..#..
CP866 8A U+041A ..... #.#.. #.#.. ##... #.#.. #.#.. .....
CP866 8B U+041B ..... .##.. #.#.. #.#.. #.#.. #.#.. .....
CP866 8C U+041C ..... #.#.. ###.. #.#.. #.#.. #.#.. .....
CP866 8D U+041D ..... #.#.. #.#.. ###.. #.#.. #.#.. .....
CP866 8E U+041E ..... .#... #.#.. #.#.. #.#.. .#... .....
CP866 8F U+041F ..... ###.. #.#.. #.#.. #.#.. #.#.. .....
CP866 90 U+0420 ..... ##... #.#.. ##... #.... #.... .....
CP866 91 U+0421 ..... .#... #.#.. #.... #.#.. .#... .....
CP866 92 U+0422 ..... ###.. .#... .#... .#... .#... .....
CP866 93 U+0423 ..... #.#.. #.#.. #.#.. .#... .#... #....
CP866 94 U+0424 ..... .#... ###.. #.#.. ###.. .#... .....
CP866 95 U+0425 ..... #.#.. #.#.. .#... #.#.. #.#.. .....
CP866 96 U+0426 ..... #.#.. #.#.. #.#.. #.#.. ###.. .....
CP866 97 U+0427 ..... #.#.. #.#.. .##.. ..#.. ..#.. .....
CP866 98 U+0428 ..... #.#.. #.#.. ###.. ###.. ###.. .....
CP866 99 U+0429 ..... #.#.. #.#.. ###.. ###.. ####. ...#.
CP866 9A U+042A ..... ##... .#... .##.. .#.#. .##.. .....
CP866 9B U+042B ..... #..#. #..#. ##.#. #.##. ##.#. .....
CP866 9C U+042C ..... #.... #.... ##... #.#.. ##... .....
CP866 9D U+042D ..... ##... ..#.. .##.. ..#.. ##... .....
CP866 9E U+042E ..... #.#.. ##.#. ##.#. ##.#. #.#.. .....
CP866 9F U+042F ..... .##.. #.#.. .##.. #.#.. #.#.. .....
CP866 A0 U+0430 ..... ..... .##.. #.#.. #.#.. .##.. .....
CP866 A1 U+0431 ..... .##.. #.... ###.. #.#.. .#... .....
CP866 A2 U+0432 ..... ..... ###.. ##... #.#.. ##... .....
CP866 A3 U+0433 ..... ..... ###.. #.... #.... #.... .....
CP866 A4 U+0434 ..... ..... .##.. #.#.. #.#.. ###.. #.#..
CP866 A5 U+0435 ..... ..... .#... #.#.. ##... .##.. .....
CP866 A6 U+0436 ..... ..... #.##. .##.. .##.. #.##. .....
CP866 A7 U+0437 ..... ..... ###.. .#... ..#.. ##... .....
CP866 A8 U+0438 ..... ..... #.#.. ###.. ###.. #.#.. .....
CP866 A9 U+0439 ..... #.#.. .#... #.#.. ###.. #.#.. .....
CP866 AA U+043A ..... ..... #.#.. #.#.. ##... #.#.. .....
CP866 AB U+043B ..... ..... .##.. #.#.. #.#.. #.#.. .....
CP866 AC U+043C ..... ..... #.#.. ###.. #.#.. #.#.. .....
CP866 AD U+043D ..... ..... #.#.. ###.. #.#.. #.#.. .....
CP866 AE U+043E ..... ..... .#... #.#.. #.#.. .#... .....
CP866 AF U+043F ..... ..... ###.. #.#.. #.#.. #.#.. .....
CP866 E0 U+0440 ..... ..... ##... #.#.. ##... #.... #....
CP866 E1 U+0441 ..... ..... .##.. #.... #.... .##.. .....
CP866 E2 U+0442 ..... ..... ###.. .#... .#... .#... .....
CP866 E3 U+0443 ..... ..... #.#.. #.#.. .##.. ..#.. ##...
CP866 E4 U+0444 ..... .#... .#... #.#.. #.#.. .#... .#...
CP866 E5 U+0445 ..... ..... #.#.. .#... .#... #.#.. .....
CP866 E6 U+0446 ..... ..... #.#.. #.#.. #.#.. ###.. ..#..
CP866 E7 U+0447 ..... ..... #.#.. #.#.. .##.. ..#.. .....
CP866 E8 U+0448 ..... ..... #.#.. ###.. ###.. ###.. .....
CP866 E9 U+0449 ..... ..... #.#.. ###.. ###.. ####. ...#.
CP866 EA U+044A ..... ..... ##... .##.. .#.#. .##.. .....
